Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,0.0146284813389947,-1.89563371274376E-06,0.0723541928691957,0,0,0,3.09641268033491,0.0419741968772416,-3.7560549183201E-15,-8.03647666606979E-18,0.0615690596509833,4.53243009823761E-13,0.10204579421495,0,0,0,0,0,0,package://Rove/meshes/Chassis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Chassis.STL,,Assem1^Rover-1,Coordinate System23,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Suspension Right,-0.000284315368573762,0.0394999999999512,-0.0949070775921543,0,0,0,0.491075869325468,0.000777748708473674,9.63439205576138E-18,3.02056525137579E-06,0.00221150585237779,-7.8876216877661E-09,0.00149474981209495,0,0,0,0,0,0,package://Rove/meshes/Suspension Right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Suspension Right.STL,,Suspension-3,Origin_Revolute,Axis_Revolute,Revolute,continuous,0.0599999999999999,-0.264999999999999,0.0350000000000001,0,0.0406665076873908,3.14159265358979,Chassis,0,1,0,,,,,,,,,,,,
Wheel Base,-0.232338622821477,-0.156715594710097,-0.325252654063905,0,0,0,1.59064873828344,0.00332993948905121,-1.37696076565265E-06,-5.37296524247919E-06,0.00326373133283035,-3.07688885292126E-06,0.00325480760241221,0,0,0,0,0,0,package://Rove/meshes/Wheel Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Wheel Base.STL,,Wheel Assembly kitkat modification v3-4,Origin_Rigid,Axis_Rigid,Rigid,fixed,-0.270420585894539,-0.0150007511058859,-0.0413359060619553,-0.0119323064051078,0,-1.5707963267949,Suspension Right,0,0,0,,,,,,,,,,,,
Wheel1,0.0636406878077729,0.166120083271174,-0.303455350484078,0,0,0,1.06266656397985,0.00867837868482245,-9.75781955236954E-19,-1.50131373611095E-17,0.00867837868482245,4.13921841052304E-17,0.011118515627338,0,0,0,0,0,0,package://Rove/meshes/Wheel1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Wheel1.STL,,beach wheelsv2-3,Origin_Rotate1,Axis_Revolute,Rotate1,fixed,-0.552456102886383,-0.206911372789634,-0.154790132380014,-1.57079632679499,0.0801270394491507,1.5707963267949,Wheel Base,-0.132336510163755,-0.991204846677859,0,,,,,,,,,,,,
Wheel Base 2,-0.232338624163035,-0.156715594834493,-0.325252653955168,0,0,0,1.59064872533312,0.00332993948466885,-1.3769601811676E-06,-5.37296595460627E-06,0.00326373132752293,-3.07689071031699E-06,0.00325480760010007,0,0,0,0,0,0,package://Rove/meshes/Wheel Base 2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Wheel Base 2.STL,,Wheel Assembly kitkat modification v3-3,Origin_Fixed 1,Axis_Fixed 1,Fixed 1,fixed,0.407514224595884,-0.015000751105886,-0.00812327219102477,0.503078806236402,0,-1.5707963267949,Suspension Right,0,0,0,,,,,,,,,,,,
Wheel2,0.0636406878077646,0.166120083271187,-0.303455350484077,0,0,0,1.06266656397985,0.00867837868482245,1.04083408558608E-17,6.00469807216239E-17,0.00867837868482245,-1.92467887650303E-17,0.011118515627338,0,0,0,0,0,0,package://Rove/meshes/Wheel2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Wheel2.STL,,beach wheelsv2-4,Origin_Rotatey,Axis_Rotatey,Rotatey,fixed,-0.552456102886372,-0.0340272945561178,-0.196708084429408,-1.57079632679493,1.12732459064575,1.57079632679489,Wheel Base 2,0,0,0,,,,,,,,,,,,
Differential connector,0.202421857244755,-0.380825083152069,0.0563336914023347,0,0,0,0.0149887953807079,1.69088722417064E-05,1.52566240950461E-07,-3.77254799777031E-13,1.86393645388861E-05,3.30076701014792E-14,1.79715804057173E-06,0,0,0,0,0,0,package://Rove/meshes/Differential connector.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Differential connector.STL,,suspension to diff connector v1-2,Origin_Fixed,Axis_Fixed,Fixed,fixed,-0.234842675299956,0.390733701419906,-0.0942441749076858,0,0,0.0872664625997107,Suspension Right,0,0,0,,,,,,,,,,,,
Tie rod ball2,1.60982338570648E-15,6.38378239159465E-16,-0.00497493718553338,0,0,0,0.000742388240421719,2.74446280084428E-08,3.30872245021211E-24,-2.5890804943719E-24,2.74446280084427E-08,-2.81337602417678E-24,4.60438954975872E-08,0,0,0,0,0,0,package://Rove/meshes/Tie rod ball2.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://Rove/meshes/Tie rod ball2.STL,,tie rod ball v2-11,Origin_Fixed3,Axis_Fixed3,Fixed3,continuous,0.202247547109796,-0.382817472666401,-0.000755825091999413,-1.57079632679472,-0.356589409874478,-0.0872664625997732,Differential connector,0,0,1,,,,,,,,,,,,
Tie rod,0.0104421747737389,0.0607861228068002,-0.00231988781136289,0,0,0,0.0233826113190036,5.81287678407495E-06,-2.70664313172421E-12,4.44672241760014E-12,1.04660838334745E-06,2.77528475170752E-12,5.81289092676996E-06,0,0,0,0,0,0,package://Rove/meshes/Tie rod.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Rove/meshes/Tie rod.STL,,tie rod 140mm v2-2,Origin_Rotate2,Axis_Rotate2,Rotate2,revolute,0,0.00999999999999998,0,0.00565546888988213,0.263273418509483,-1.24497576442754,Tie rod ball2,0,1,0,0,0,-0.52207,0.26333,,,,,,,,
Tie rod ball1,4.9960036108132E-16,-3.33066907387547E-16,-0.00497493718553667,0,0,0,0.000742388240421719,2.74446280084428E-08,3.30872245021213E-24,1.63495802368174E-23,2.74446280084428E-08,-2.96574787758966E-24,4.60438954975872E-08,0,0,0,0,0,0,package://Rove/meshes/Tie rod ball1.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://Rove/meshes/Tie rod ball1.STL,,tie rod ball v2-12,Origin_Rotate3,Axis_Rotate3,Rotate3,revolute,0.00563885347695928,0.124827882835183,-0.00361475433768826,1.85270510601966,-0.360765726608758,-1.68140280038764,Tie rod,0,0,1,0,0,-0.52194,0.26346,,,,,,,,
